(20491, 2),,,,
(20491, 2),,,,
Accuracy,0.45893319,,,,
Precision,0.65631929,0.312154696,0.12565445,0.167701863,0.476556162
Recall,0.208304011,0.063022867,0.021978022,0.022354694,0.973271482
F1 score,0.316239316,0.10487239,0.037412315,0.039450614,0.63982574
,,,,,
,,,,,
Label  1,,,,,
Precision,0.65631929,,,,
Recall,0.208304011,,,,
F1 score,0.316239316,,,,
Total number of predictions,0,,,,
Total number of correct predictions,0,,,,
,,,,,
,,,,,
Label  2,,,,,
Precision,0.312154696,,,,
Recall,0.063022867,,,,
F1 score,0.10487239,,,,
Total number of predictions,0,,,,
Total number of correct predictions,0,,,,
,,,,,
,,,,,
Label  3,,,,,
Precision,0.12565445,,,,
Recall,0.021978022,,,,
F1 score,0.037412315,,,,
Total number of predictions,0,,,,
Total number of correct predictions,0,,,,
,,,,,
,,,,,
Label  4,,,,,
Precision,0.167701863,,,,
Recall,0.022354694,,,,
F1 score,0.039450614,,,,
Total number of predictions,0,,,,
Total number of correct predictions,0,,,,
,,,,,
,,,,,
Label  5,,,,,
Precision,0.476556162,,,,
Recall,0.973271482,,,,
F1 score,0.63982574,,,,
Total number of predictions,0,,,,
Total number of correct predictions,0,,,,
Total number correct of predictions by model 9404,,,,,
Predicted    1    2    3    4     5,,,,,
Actual                             ,,,,,
1          296  167  148  205   605,,,,,
2          105  113  108  171  1296,,,,,
3           31   41   48  127  1937,,,,,
4           14   19   30  135  5841,,,,,
5            5   22   48  167  8812,,,,,
time taken by model,204.9351513,,,,
,,,,,
Process finished with exit code 0,,,,,
